cancer_type,hugo_symbol,mutated_samples,total_samples,freq,CI_low,CI_high
COAD,ABTB2,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AC004076.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC004593.2,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC004832.3,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC004922.1,12,440,0.02727272727272727,0.012053606474656644,0.0424918480707979
COAD,AC004997.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC005324.2,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,AC005833.1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC006059.2,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,AC007040.2,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC008397.2,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AC008676.3,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,AC009779.3,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC011448.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC011455.2,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,AC011462.1,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,AC013477.1,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC013489.1,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,AC018630.4,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC020907.6,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC023055.1,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AC024598.1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC053503.6,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC055839.2,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC068580.4,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC090517.4,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AC092143.1,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,AC092718.8,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC093525.2,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC097636.1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,AC097637.1,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AC098582.1,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,AC100868.1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,AC104389.6,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC104452.1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC107871.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC107959.5,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC109583.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC126283.2,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,AC127029.3,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,AC131160.1,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC132217.2,1,440,0.0022727272727272726,-0.0021767533189471586,0.006722207864401704
COAD,AC134980.2,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AC136428.1,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AC139530.2,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AC144573.1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AC231657.3,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC244197.3,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AC245033.1,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ACAA1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ACACA,29,440,0.0659090909090909,0.0427246318956795,0.0890935499225023
COAD,ACACB,28,440,0.06363636363636363,0.04082744582379269,0.08644528144893457
COAD,ACAD10,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ACAD11,11,440,0.025,0.01041178869460313,0.03958821130539687
COAD,ACAD8,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ACAD9,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ACADL,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ACADM,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ACADS,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ACADSB,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ACADVL,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ACAN,30,440,0.06818181818181818,0.04462971949896952,0.09173391686466684
COAD,ACAP1,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ACAP2,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ACAP3,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,ACAT1,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ACAT2,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ACBD3,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ACBD4,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ACBD5,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,ACBD6,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ACBD7,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,ACCS,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,ACCSL,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ACD,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,ACE,18,440,0.04090909090909091,0.02240066287374457,0.059417518944437246
COAD,ACE2,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,ACER1,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,ACER2,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,ACER3,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
