Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,PI3K/AKT Signaling In Cancer R-HSA-2219528,1/105,0.0512879221660425,0.0744044513778445,0,0,21.24572649572649,63.10618119534448,PIK3CA
Reactome_2022,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",1/106,0.0517647805964337,0.0744044513778445,0,0,21.04232804232804,62.30728596638391,PIK3CA
Reactome_2022,Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,1/106,0.0517647805964337,0.0744044513778445,0,0,21.04232804232804,62.30728596638391,TP53
Reactome_2022,O-linked Glycosylation R-HSA-5173105,1/107,0.0522414233078482,0.0744044513778445,0,0,20.842767295597483,61.52533852087739,MUC16
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,1/107,0.0522414233078482,0.0744044513778445,0,0,20.842767295597483,61.52533852087739,TP53
Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,1/107,0.0522414233078482,0.0744044513778445,0,0,20.842767295597483,61.52533852087739,TP53
Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,1/112,0.0546214040317676,0.0768199646154792,0,0,19.8988988988989,57.85265494685789,TP53
Reactome_2022,Reproduction R-HSA-1474165,1/113,0.0550967542198212,0.0768199646154792,0,0,19.72023809523809,57.16235353894127,SYNE1
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,1/113,0.0550967542198212,0.0768199646154792,0,0,19.72023809523809,57.16235353894127,PIK3CA
Reactome_2022,Interleukin-1 Signaling R-HSA-9020702,1/114,0.0555718892963041,0.0768199646154792,0,0,19.54473942969518,56.48581741086853,TP53
Reactome_2022,Signaling By NTRK1 (TRKA) R-HSA-187037,1/114,0.0555718892963041,0.0768199646154792,0,0,19.54473942969518,56.48581741086853,PIK3CA
Reactome_2022,TCR Signaling R-HSA-202403,1/116,0.0565215144325384,0.0776757654482254,0,0,19.20289855072464,55.17249932078826,PIK3CA
Reactome_2022,Cell-Cell Communication R-HSA-1500931,1/120,0.0584181871042884,0.0798155463343475,0,0,18.55368814192344,52.69484946624011,PIK3CA
Reactome_2022,Cardiac Conduction R-HSA-5576891,1/126,0.0612567624754281,0.0832100530735584,0,0,17.657777777777778,49.3125409946923,RYR2
Reactome_2022,Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,1/130,0.0631448649915911,0.085281857890942,0,0,17.1068044788975,47.25453226369782,PIK3CA
Reactome_2022,Signaling By NTRKs R-HSA-166520,1/132,0.064087634006374,0.0860605370942737,0,0,16.843935538592028,46.27877775631816,PIK3CA
Reactome_2022,Cell Surface Interactions At Vascular Wall R-HSA-202733,1/134,0.0650295490975947,0.0867272527555622,0,0,16.588972431077693,45.33622688859099,PIK3CA
Reactome_2022,Immune System R-HSA-168256,3/1943,0.0653222286712106,0.0867272527555622,0,0,3.987481590574374,10.879536053886806,PIK3CA;MUC16;TP53
Reactome_2022,Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,1/136,0.0659706109648584,0.0870960313300098,0,0,16.34156378600823,44.42529163101855,TP53
Reactome_2022,PTEN Regulation R-HSA-6807070,1/139,0.0673806054536277,0.0884605714056006,0,0,15.98389694041868,43.11493252457917,TP53
Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,1/140,0.0678501777388971,0.0885821764924491,0,0,15.86810551558753,42.69239642260823,TP53
Reactome_2022,C-type Lectin Receptors (CLRs) R-HSA-5621481,1/141,0.0683195372380125,0.0887021616073644,0,0,15.753968253968257,42.27671121747236,MUC16
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,1/143,0.0692576181978487,0.0894260454752442,0,0,15.530516431924882,41.46526951018726,MUC16
Reactome_2022,G2/M Checkpoints R-HSA-69481,1/148,0.0715991027195359,0.0919442029458522,0,0,14.998488284202567,39.54610515433267,TP53
Reactome_2022,DNA Double-Strand Break Repair R-HSA-5693532,1/149,0.0720667629517442,0.0920417896394559,0,0,14.896396396396396,39.17994060077916,TP53
Reactome_2022,Interleukin-1 Family Signaling R-HSA-446652,1/152,0.0734684718687947,0.0933248156171176,0,0,14.59823399558499,38.11451335774776,TP53
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,1/157,0.0758004191937405,0.0957693468308012,0,0,14.126780626780628,36.44217021371992,TP53
Reactome_2022,Toll-like Receptor Cascades R-HSA-168898,1/162,0.0781270830081257,0.0981810936198371,0,0,13.684610075914424,34.88779821293247,TP53
Reactome_2022,Cellular Senescence R-HSA-2559583,1/165,0.0795205496250796,0.0994006870313495,0,0,13.432249322493226,34.00696027874125,TP53
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,1/168,0.0809121203148388,0.1006050173226832,0,0,13.188955422488355,33.16219935568782,TP53
Reactome_2022,SUMOylation R-HSA-2990846,1/174,0.0836895830239611,0.1035108000559519,0,0,12.727681438664098,31.572805424981038,TP53
Reactome_2022,Ion Channel Transport R-HSA-983712,1/175,0.0841517583384419,0.1035375037148369,0,0,12.65389527458493,31.32007963491698,RYR2
Reactome_2022,Apoptosis R-HSA-109581,1/178,0.0855370257686186,0.104151300806349,0,0,12.437539234149405,30.581495433145506,TP53
